wpm,ac,r,t,sl,tid,gn,np,pts
107.46,0.98,2,1589137824.614,L6,3550245,1488,5,57.31
111.91,0.99,1,1589082504.159,L6,541,1487,4,72.74
99.33,0.98,3,1589081103.13,L6,3550253,1486,4,97.67
100.6,0.99,1,1589063011.258,L6,3641253,1485,5,58.68
83.37,0.96,2,1588700887.214,L6,3810256,1484,5,68.09
123.09,0.99,1,1588698962.428,L6,3640195,1483,4,82.06
99.38,0.98,1,1588608034.182,L6,3622344,1482,4,81.16
116.23,0.99,1,1588363915.075,L6,3640960,1481,3,91.04
113.38,0.99,1,1588110039.45,L5,3810808,1480,5,60.47
87.81,0.97,4,1587675326.167,L6,3640287,1479,5,46.83
100.85,0.97,1,1587593520.113,L5,3640143,1478,5,75.64
98.55,0.99,3,1587592700.288,L6,3640485,1477,5,64.06
92.5,0.99,3,1587576344.038,L6,3550607,1476,4,55.5
99.73,0.97,4,1587492427.423,L6,3100039,1475,5,86.43
104.05,0.98,3,1586714155.252,L6,476,1474,5,97.12
110.17,0.99,1,1586713331.128,L6,3640688,1473,5,112.01
116.92,0.97,1,1586314897.656,L6,4060235,1472,5,29.23
97.52,0.99,1,1586189316.114,L6,3641342,1471,2,123.53
98.23,0.97,2,1586056513.726,L6,3100027,1470,5,75.31
127.49,1,3,1586056447.181,L6,3950036,1469,5,84.99
111.93,1,2,1585962601.688,L6,3550471,1468,2,63.43
106.29,0.97,3,1585935195.674,L6,3550049,1467,5,56.69
122.13,0.99,2,1585283037.846,L6,3621312,1466,4,75.31
111.66,0.98,1,1585006309.034,L6,3811430,1465,5,65.13
97.14,0.97,4,1584899047.961,L6,3641119,1464,5,77.71
111.61,0.98,2,1583886491.982,L5,3622270,1463,4,135.79
96.3,0.95,2,1583788998.518,L6,4180618,1462,5,67.41
118.9,0.98,1,1583516570.506,L5,3620598,1461,5,130.79
103.91,0.98,4,1583338455.308,L6,3622286,1460,5,91.79
115.45,0.98,4,1583277488.451,L6,3640854,1459,5,69.27
103.48,0.96,3,1582909631.326,L6,3550051,1458,4,46.57
123.32,0.99,1,1582743347.559,L6,3640221,1457,5,73.99
119.49,0.99,1,1582739006.319,L6,3622374,1456,4,39.83
99.38,0.97,2,1582734019.255,L6,3621374,1455,4,61.29
107.27,0.98,1,1582653555.967,L6,3810054,1454,5,135.88
110.23,0.98,1,1582647207.717,L5,3550322,1453,4,67.97
117.15,0.98,2,1582569580.775,L6,3641308,1452,5,82
93.21,0.96,2,1581717034.869,L6,3811313,1451,3,147.59
102.2,0.96,3,1581714480.505,L6,4180311,1450,4,91.98
125.26,0.99,1,1581714335.288,L6,3620201,1449,5,68.89
114.69,0.98,1,1581714293.645,L6,3810624,1448,2,87.93
101.03,0.95,1,1581714239.65,L6,3950046,1447,5,48.83
104.63,0.97,1,1581701614.423,L6,3100063,1446,5,169.15
80.38,0.96,3,1581701453.183,L5,4180712,1445,4,37.51
111.57,0.97,1,1581701417.146,L5,428,1444,4,59.5
106.64,0.97,1,1581699707.278,L6,3811461,1443,4,65.76
109.21,0.98,1,1581532554.323,L6,4070258,1442,5,78.27
102.71,0.96,4,1581523899.682,L6,3550619,1441,5,70.19
110.46,0.98,2,1581523657.363,L6,3621152,1440,5,82.85
101.11,0.97,3,1581461322.665,L6,3810953,1439,5,109.54
123.52,0.99,1,1581458606.27,L6,4180188,1438,5,98.82
107.8,0.97,2,1581375191.754,L6,78,1437,4,84.44
113.3,0.98,2,1581372463.215,L6,3641317,1436,4,60.43
117.51,0.99,1,1581368215.166,L6,3640413,1435,5,76.38
105.37,0.97,1,1581357428.861,L6,4060027,1434,5,86.05
107,0.98,2,1581352552.993,L6,3621831,1433,2,83.81
99.79,0.97,3,1581117633.411,L6,4180239,1432,5,98.12
112.77,0.99,2,1581111831.407,L5,3640152,1431,5,77.06
111.01,0.97,3,1581031583.599,L6,3950033,1430,4,59.2
107.72,0.96,3,1581019312.705,L6,3550797,1429,5,89.77
100.71,0.97,2,1581015630.622,L6,3950047,1428,5,72.18
96.61,0.97,1,1581006486.567,L6,3640685,1427,5,59.58
119.46,0.99,3,1580931337.376,L6,3810764,1426,5,97.56
114.01,0.98,1,1580773626.539,L6,3641196,1425,4,144.42
96.99,0.98,2,1580755294.774,L6,43,1424,4,67.89
102.56,0.97,1,1580755207.994,L6,3811177,1423,5,75.21
92.83,0.97,1,1580399263.977,L5,3621027,1422,5,44.87
103.6,0.97,2,1580318102.542,L6,3550425,1421,4,88.06
110.82,0.98,2,1580253764.546,L6,3640238,1420,5,70.19
85.91,0.96,1,1580232461.74,L5,3620250,1419,5,37.23
114.88,0.99,2,1580227060.474,L6,320,1418,5,82.33
107.54,0.97,3,1580161996.689,L6,3641033,1417,5,125.46
94.21,0.96,1,1580158044.364,L6,3811020,1416,4,120.91
114.14,0.98,1,1580151595.275,L6,3620404,1415,5,41.85
94.7,0.95,4,1580075486.742,L6,3550783,1414,5,71.02
116.52,0.99,2,1579917258.804,L6,3550792,1413,3,79.62
105.7,0.97,1,1579910205.272,L5,3622213,1412,5,84.56
122.63,0.98,1,1579904273.105,L6,3950027,1411,5,75.62
108.02,0.97,1,1579902762.969,L6,3640485,1410,4,70.22
116.66,0.98,2,1579889050.437,L6,3550721,1409,3,85.55
126.41,0.98,2,1579882980.671,L6,3100092,1408,4,52.67
110.02,0.97,1,1579882868.112,L6,3550710,1407,4,86.19
110.49,0.98,2,1579882782.038,L6,179,1406,5,165.74
109.31,0.98,2,1579882264.339,L6,3622424,1405,5,81.98
105,0.97,3,1579882155.612,L6,3640235,1404,5,68.25
122.35,0.99,2,1579880525.908,L6,4060255,1403,4,50.98
98.6,0.96,2,1579822297.976,L6,3810539,1402,5,87.1
109.79,0.98,1,1579822201.96,L6,4180074,1401,5,95.15
104.19,0.97,4,1579812946.127,L6,4180054,1400,5,78.14
125.63,1,1,1579806154.359,L6,78,1399,2,98.41
108.87,0.98,1,1579796353.89,L6,287,1398,5,123.38
104.7,0.98,3,1579796279.917,L6,4180092,1397,5,61.08
99.09,0.96,2,1579795685.697,L6,3640601,1396,5,115.6
106.13,0.97,1,1579795610.902,L6,3620525,1395,5,72.52
95.53,0.96,3,1579733315.86,L6,3810116,1394,4,66.87
132.19,0.99,2,1579731046.971,L6,3621322,1393,3,68.3
100.61,0.97,2,1579730987.44,L6,3641057,1392,4,63.72
107.7,0.98,1,1579730874.533,L6,3811317,1391,5,177.7
119.65,0.99,2,1579728257.703,L6,3641427,1390,4,85.75
107.87,0.97,2,1579724902.065,L6,189,1389,4,82.7
110.95,0.97,1,1579724843.954,L6,3100082,1388,5,96.16
121.73,0.99,2,1579724688.532,L6,3640092,1387,3,83.18
100.02,0.98,1,1579622073.616,L6,3622208,1386,5,71.68
88.93,0.97,1,1578850366.606,L6,3810547,1385,4,72.63
99.48,0.97,1,1578702474.011,L6,3620371,1384,2,84.56
111.85,0.99,3,1578677924.893,L6,3550075,1383,3,63.38
124.62,0.99,1,1578677828.303,L6,3620688,1382,5,76.85
99.12,0.97,2,1578677030.829,L6,3621246,1381,2,66.08
118.9,0.98,1,1578676842.685,L6,4070259,1380,4,85.21
108.43,0.98,2,1578676773.999,L6,3620461,1379,3,81.33
109.49,0.98,3,1578591224.546,L6,3641175,1378,5,72.99
100.97,0.97,2,1578591185.014,L6,4060246,1377,5,97.61
120.89,0.97,1,1578591096.155,L6,4180235,1376,5,76.57
104.11,0.97,3,1578591014.433,L6,3550112,1375,5,128.4
107.79,0.97,1,1578590797.919,L6,320,1374,5,77.25
103.69,0.97,1,1578588504.791,L6,3810656,1373,5,95.05
101.25,0.99,1,1578588374.753,L6,605,1372,4,59.06
105.11,0.97,1,1578587028.113,L6,4180315,1371,4,91.09
110.97,0.99,3,1578527342.972,L6,3810511,1370,5,92.47
102.15,0.99,1,1578509179.682,L6,3810414,1369,3,71.51
120.77,0.99,2,1578509119.633,L6,3550627,1368,4,84.54
112.81,0.99,1,1578507114.881,L6,3811384,1367,4,88.37
98.78,0.96,1,1576696068.088,L6,3640252,1366,5,88.9
108.53,0.98,2,1576624193.73,L6,3641070,1365,5,72.35
106.28,0.98,1,1576202341.592,L6,4180344,1364,5,81.48
97.55,0.98,1,1576182179.948,L6,4060131,1363,4,50.4
113.62,0.97,2,1576181592.738,L6,3622467,1362,4,56.81
102.31,0.97,1,1576181510.615,L5,3640824,1361,5,57.97
101.97,0.98,3,1576181457.662,L6,3550183,1360,5,105.37
117.94,0.99,1,1576181366.419,L6,3550033,1359,5,121.87
91.89,0.97,2,1576181303.705,L6,4180538,1358,5,79.64
110.65,0.98,2,1576181241.837,L6,3621326,1357,5,77.45
98.13,0.96,2,1576095531.274,L6,3550907,1356,3,142.29
109.98,0.98,1,1576087128.678,L6,591,1355,5,161.3
105.77,0.98,1,1576087065.569,L6,3640183,1354,5,79.33
93.97,0.96,2,1576000613.358,L5,3641330,1353,3,178.54
107.42,0.98,2,1576000435.621,L6,327,1352,5,76.98
98.34,0.96,1,1576000374.24,L6,3810118,1351,5,78.67
106.45,0.98,1,1575996390.652,L6,3620295,1350,3,124.19
123.96,0.99,2,1575928484.819,L6,3640403,1349,5,74.37
101.32,0.97,2,1575916215.357,L6,3640802,1348,5,91.19
105.94,0.96,4,1575655453.783,L6,3620179,1347,4,102.41
106.94,0.97,2,1575579088.999,L6,360,1346,5,92.68
95.16,0.96,4,1575579033.86,L6,3550077,1345,5,74.54
110.71,0.97,2,1575578975.714,L6,3620602,1344,5,68.27
126.45,0.99,2,1575491894.727,L6,3622264,1343,5,84.3
103.41,0.97,2,1575491806.153,L6,3620673,1342,5,99.96

