wpm,ac,r,t,sl,tid,gn,np,pts
121.32,0.96,2,1644342347.833,L6,3950033,2139,4,64.7
121.64,0.99,1,1644342322.639,L6,346,2138,5,113.53
141.09,0.99,2,1644342268.007,L6,3810901,2137,4,124.63
117.52,0.97,4,1644282773.236,L6,4350123,2136,4,90.1
127.08,0.99,1,1644275748.095,L6,3550070,2135,4,105.9
124.25,0.98,1,1644275709.663,L6,4070103,2134,5,89.04
123.05,0.99,1,1644274967.696,L6,4060039,2133,4,106.64
121.03,0.99,2,1644274840.594,L6,3100050,2132,4,56.48
125.48,0.98,3,1644274812.167,L6,3621203,2131,5,110.84
139.54,1,1,1644274739.559,L6,3550028,2130,4,88.38
118.33,0.98,2,1644274701.343,L6,3641097,2129,3,108.47
137.03,0.98,1,1644272407.291,L6,4060255,2128,2,57.1
115.35,0.98,2,1644269374.715,L6,3950051,2127,5,107.66
117.42,0.98,1,1644269321.462,L6,3622432,2126,5,142.86
135.03,0.99,1,1644253227.257,L6,3550694,2125,4,114.77
139.36,0.99,1,1644253180.178,L6,4070305,2124,4,92.91
141.91,0.99,1,1644253135.91,L6,4180609,2123,5,61.5
127.44,0.99,3,1644207424.193,L6,3640144,2122,5,65.84
108.34,0.97,2,1644207398.541,L6,3621240,2121,4,102.92
113.85,0.97,2,1644192251.321,L6,3620866,2120,3,83.49
132.07,0.99,1,1644192194.923,L6,3640332,2119,4,74.84
129.65,0.98,1,1644192155.36,L6,3810620,2118,4,155.58
130.65,0.97,1,1644192104.598,L6,3640591,2117,5,63.15
125.73,0.98,1,1644192061.362,L6,4180784,2116,5,152.97
137.74,0.99,2,1644191971.902,L6,3550449,2115,5,101.01
114.87,0.97,1,1644191918.734,L6,3550267,2114,5,170.39
121.51,0.97,1,1644191834.081,L6,4350195,2113,5,95.18
129.08,0.99,1,1644158780.73,L6,4180022,2112,5,139.84
108.98,0.98,3,1644157818.999,L6,4180114,2111,5,119.88
121.34,0.98,1,1644127998.268,L6,4940031,2110,2,133.48
124.11,0.99,1,1644105087.705,L6,4180465,2109,3,165.48
143.82,1,1,1644104753.656,L6,3100034,2108,3,100.67
124.81,0.97,1,1644087981.064,L6,3100082,2107,5,108.17
132.92,0.99,1,1644087944.721,L6,134,2106,5,90.83
137.09,0.99,3,1644087900.859,L6,3620397,2105,5,89.11
116.4,0.97,1,1644087866.457,L6,3621234,2104,3,85.36
149.92,1,1,1644087808.455,L6,3621166,2103,4,99.95
118.66,0.98,2,1644074190.701,L6,3550164,2102,5,69.22
116.62,0.99,2,1644074093.704,L6,3620425,2101,5,42.76
132.1,0.99,2,1644074026.995,L6,3811227,2100,5,105.68
134.63,0.98,1,1644073934.795,L5,3620406,2099,5,76.29
120.98,0.98,2,1644073804.413,L6,4350288,2098,4,189.54
134.54,1,2,1644073655.648,L6,3622285,2097,5,107.63
127.34,0.98,1,1644020319.202,L6,3640281,2096,5,95.5
